,K,D,D,D
5fdcfeacaffbb17464342433,1_八九寺真宵#41892,### 自訂盜賊-1# 職業：盜賊# 規則：標準# 鳳凰年## 2x (0) 暗影閃現# 1x (0) 準備# 2x (0) 背刺# 2x (1) 持棍擊昏者# 2x (1) 法老貓# 2x (1) 獎品盜掠者# 2x (1) 秘密通道# 2x (1) 魔杖小偷# 2x (2) 卑鄙手段# 2x (2) 抄襲# 1x (2) 暗影珠寶商哈拿# 2x (2) 江狐騙子# 2x (2) 詐騙# 1x (3) 解任務的冒險者# 2x (3) 邪惡陣線無賴# 1x (5) 詹迪斯‧巴羅夫# 1x (5) 鑰匙看守者艾弗利# 1x (6) 菲克‧天刃# AAECAZvDAwaXBoYJwa4D+8QD2dEDhOQDDLQB7QKPlwP1pwPOuQPQuQOqywOk0QPl0wPf3QPn3QPz3QMA# # 想要使用這副套牌的話，先複製它，然後在爐石戰記中建立一副新的套牌,### 自訂戰士-1# 職業：戰士# 規則：標準# 鳳凰年## 2x (1) 危險艦長# 1x (1) 愛玩筆的學生# 2x (1) 活動掃帚# 1x (2) 『重金屬之神』牛頭大佬# 2x (2) 地雷區# 2x (2) 戰鬥狂怒# 2x (2) 護甲鍛造師# 1x (2) 酸性沼澤軟泥怪# 1x (3) 劍刃風暴# 1x (3) 巴羅夫領主# 2x (3) 盾牌格擋# 1x (3) 破天錨# 2x (3) 血誓傭兵# 2x (3) 邪惡陣線軍需官# 2x (4) 食刀者# 2x (5) 劈砍課程# 2x (5) 鬥毆# 1x (8) 『瘋狂巨龍』死亡之翼# 1x (9) 血骨傀儡# AAECAQcIigferQPfrQO4uQOfzQOT0AOr1APO3gMLS5AD1AT/B9ypA9mtA6S2A5XNA/fUA7XeA7beAwA=# # 想要使用這副套牌的話，先複製它，然後在爐石戰記中建立一副新的套牌,### 10-1# 職業：惡魔獵人# 規則：標準# 鳳凰年## 2x (1) 以太強化商人# 2x (1) 伊利達瑞研究# 2x (1) 雙刃斬# 2x (1) 魔化哲學# 2x (1) 魔嘯衝擊# 2x (2) 混沌之擊# 2x (2) 獻祭光環# 2x (2) 莫阿格工藝師# 1x (2) 酸性沼澤軟泥怪# 2x (2) 靈視# 1x (3) 劍刃之舞# 2x (3) 奧達奇戰刃# 1x (3) 破魂斬# 1x (3) 空中特技# 2x (3) 魔眼光束# 1x (4) 伊蓋諾斯# 1x (4) 狂怒的魔化尖嘯者# 2x (6) 古爾丹之顱# AAECAbn5AwaKB727A4TDA/zIA9DdA9neAwyHugPXuwPgvAPgvgPpvgPHxgPZxgPVyAPO0gPd0wPH3QPz4wMA# # 想要使用這副套牌的話，先複製它，然後在爐石戰記中建立一副新的套牌
5fdcfeacaffbb17464342433,1_Bluecow#11461,### Pepenrage# Class: Warrior# Format: Standard# Year of the Phoenix## 2x (0) Inner Rage# 2x (1) Risky Skipper# 2x (1) Shield of Honor# 2x (1) Sky Raider# 2x (2) Armorsmith# 2x (2) Battle Rage# 1x (2) Corsair Cache# 1x (3) Ancharrr# 2x (3) Bloodsworn Mercenary# 2x (3) Bomb Wrangler# 1x (3) Lord Barov# 2x (3) Warmaul Challenger# 2x (4) Kor'kron Elite# 1x (4) Reaper's Scythe# 2x (4) Sword Eater# 2x (5) Cutting Class# 2x (7) Bloodboil Brute# AAECAQcE3q0DwLkD48wDk9ADDRYckAPUBNypA92tA6S2A6u2A7u5A5y7A5HQA/fUA7XeAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### NoHandsLock# Class: Warlock# Format: Standard# Year of the Phoenix## 2x (0) Raise Dead # 2x (1) Animated Broomstick# 2x (1) Flame Imp# 2x (1) Soulfire# 2x (1) Spirit Jailer# 2x (1) Tour Guide# 1x (1) Voidwalker# 2x (1) Wicked Whispers# 2x (2) Darkglare# 2x (2) Expired Merchant# 1x (2) Kanrethad Ebonlocke# 2x (2) Wriggling Horror# 2x (3) Man'ari Mosher# 2x (4) Nightshade Matron# 2x (6) Hand of Gul'dan# 2x (8) Flesh Giant# AAECAcn1AgIw1rkDDs4Hwgj9pAO1uQO2uQPLuQOVzQObzQPXzgPB0QPM0gOT3gPQ4QPK4wMA# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### Waterogue# Class: Rogue# Format: Standard# Year of the Phoenix## 2x (0) Preparation# 2x (1) Nitroboost Poison# 2x (1) Secret Passage# 1x (1) Sinister Strike# 2x (1) Southsea Deckhand# 2x (1) Spymistress# 2x (1) Worgen Infiltrator# 1x (2) Bluegill Warrior# 2x (2) Cold Blood# 2x (2) Crabrider# 2x (2) Eviscerate# 2x (2) Sneaky Delinquent# 2x (2) Swindle# 2x (3) Greyheart Sage# 2x (3) Hooked Scimitar# 2x (5) Cutting Class# AAECAaIHAsYF4wUOjALUBYgH4geGCf+lA7m4A8+5A6rLA4rUA/fUA+fdA4HkA5HkAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone
5fdcfeacaffbb17464342433,1_GamerDude#1964,### Custom Demon Hunter# Class: Demon Hunter# Format: Standard# Year of the Phoenix## 2x (1) Double Jump# 2x (1) Ethereal Augmerchant# 2x (1) Felosophy# 2x (1) Felscream Blast# 2x (1) Illidari Studies# 1x (2) Acidic Swamp Ooze# 1x (2) Bloodmage Thalnos# 2x (2) Chaos Strike# 2x (2) Immolation Aura# 2x (2) Mo'arg Artificer# 2x (2) Spectral Sight# 2x (3) Aldrachi Warblades# 2x (3) Eye Beam# 1x (3) Soul Cleave# 1x (4) Il'gynoth# 1x (4) Raging Felscreamer# 1x (5) Chaos Nova# 2x (6) Skull of Gul'dan# AAECAea5AwbtBYoHvbsDhMMD98MD0N0DDIe6A9e7A+C+A+m+A8fGA9nGA9XIA9bRA87SA93TA8fdA/PjAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### 2# Class: Rogue# Format: Standard# Year of the Phoenix## 2x (0) Backstab# 2x (1) Nitroboost Poison# 2x (1) Secret Passage# 2x (1) Sinister Strike# 2x (1) Southsea Deckhand# 2x (1) Spymistress# 2x (1) Worgen Infiltrator# 1x (2) Acidic Swamp Ooze# 2x (2) Ashtongue Slayer# 2x (2) Eviscerate# 2x (2) Foxy Fraud# 2x (2) Sneaky Delinquent# 2x (2) Swindle# 2x (3) Hooked Scimitar# 1x (4) Dread Corsair# 2x (5) Cutting Class# AAECAaIHAu4GigcOtAHGBdQFiAfiB/+lA7m4A7q4A6rLA4rUA/fUA9/dA+fdA4HkAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### 3# Class: Warlock# Format: Standard# Year of the Phoenix## 2x (0) Raise Dead # 2x (1) Animated Broomstick# 2x (1) Flame Imp# 2x (1) Soulfire# 2x (1) Spirit Jailer# 2x (1) Tour Guide# 2x (1) Voidwalker# 2x (1) Wicked Whispers# 2x (2) Darkglare# 1x (2) Expired Merchant# 2x (2) Wriggling Horror# 2x (3) Man'ari Mosher# 1x (3) Revenant Rascal# 2x (4) Nightshade Matron# 2x (6) Hand of Gul'dan# 2x (8) Flesh Giant# AAECAf0GAv2kA5feAw4wzgfCCLW5A7a5A8u5A5XNA5vNA9fOA8HRA8zSA5PeA9DhA8rjAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone
5fdcfeacaffbb17464342433,1_SeaRtBro#1865,### 剣# クラス: デーモンハンター# フォーマット: スタンダード# フェニックス年## 2x (1) イリダン党の予習# 2x (1) 二連斬# 2x (1) 爆熱バトルメイジ# 2x (2) マナ食らいのパンサーラ# 2x (2) ワンド職人# 2x (2) 混沌一閃# 2x (2) 盲目の監視者# 2x (3) アルドラキ・ウォーブレード# 2x (3) フェルスティールの剣精# 2x (3) 斬舞# 2x (3) 容赦なき追撃# 1x (4) イルギノス# 1x (4) ケイン・サンフューリー# 2x (4) フェルセイバー# 2x (6) グルダンの髑髏# 2x (6) 秘剣の貴婦人# AAECAbn5AwLaxgPQ3QMO+a4Dh7oD17sD4LwDjb0D2cYD/MgD+84D/tEDxd0DzN0D194D8+MD9OMDAA==# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### カスタムウォリアー# クラス: ウォリアー# フォーマット: スタンダード# フェニックス年## 2x (0) 内なる怒り# 1x (1) ニトロブースト毒# 2x (1) 空の略奪者# 2x (1) 扇動する船頭# 2x (1) 名誉の盾# 1x (2) 海賊の隠し武器# 2x (2) 鎧職人# 2x (2) 狂瀾怒濤# 1x (3) イカリ# 2x (3) ウォーモールの挑戦者# 1x (3) ロード・バロフ# 2x (3) 血盟の傭兵# 2x (3) 爆弾ラングラー# 1x (4) コルクロンの精鋭# 2x (4) 剣食い男# 1x (4) 死神の大鎌# 2x (5) 斧刀講# 2x (7) 血気の拳鬼# AAECAQcGHN6tA8C5A+PMA5PQA4HkAwwWkAPUBNypA92tA6S2A6u2A7u5A5y7A5HQA/fUA7XeAwA=# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### jimons'cooking# クラス: ローグ# フォーマット: スタンダード# フェニックス年## 2x (0) 死角からの一刺し# 2x (0) 段取り# 2x (1) ウォーゲンのスパイ# 2x (1) スパイミストレス# 2x (1) ニトロブースト毒# 2x (1) 南海の甲板員# 2x (1) 秘密の通路# 2x (2) カニライダー# 2x (2) ペテン# 2x (2) 日陰草の非行生徒# 2x (2) 腹裂き# 2x (2) 冷血# 2x (3) グレイハート族の賢者# 2x (3) 鉤付きシミター# 2x (5) 斧刀講# AAECAYO6AgAPtAGMAtQFiAfiB4YJ/6UDubgDz7kDqssDitQD99QD590DgeQDkeQDAA==# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
5fdcfeacaffbb17464342433,1_NAGON#1609,# AAECAZ3DAwaHrQP8uAPD0QOb2AP83gO94QMMpwibqQP7uAPzuwOVzQP+0QOH1AP+2wP53gP03wOR5AOS5AMA,AAECAafDAwiKB40I0wqOsQPIvgO00QPj0QP70QML9geBsQOYtgOTugObugOvugPezAPXzgP+0QPi3gP44wMA,AAECAaPLAwjerQO+uQPjvgP5wgOT0AOr1AO23gPI4QMLS5ADogTUBP8H3KkD2a0DpLYDuLkD99QDtd4DAA==
5fdcfeacaffbb17464342433,1_WindForce#1961,### 컵# 직업: 성기사# 대전 방식: 정규# 불사조의 해## 2x (0) 등교 첫날# 2x (1) 깃펜 장난꾼# 2x (1) 살아 움직이는 빗자루# 2x (1) 알도르 수행원# 2x (2) 광기의 화염술사# 2x (2) 아달의 수호자# 1x (2) 은빛십자군 허풍쟁이# 2x (2) 지혜의 성서# 1x (3) 군주 바로브# 2x (3) 살헤트의 사자# 1x (4) 고위 수녀원장 알루라# 2x (5) 끈질긴 악당# 2x (5) 알도르 진실탐구자# 2x (5) 정의의 성서# 1x (6) 나루의 망치# 2x (6) 독실한 제자# 1x (7) 심판의 성서# 1x (9) 희망의 성서# AAECAYsWBuq5A5PQA8PRA+DRA4XeA/3jAwz2B8+dA5WmA8q4A/24A+u5A+y5A8rBA5XNA57NA5/NA8DRAwA=# # 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.,### 컵# 직업: 악마사냥꾼# 대전 방식: 정규# 불사조의 해## 2x (1) 쌍날 베기# 2x (1) 일리다리 탐구# 2x (1) 혼령 간수# 2x (2) 마나탐식자 판타라# 2x (2) 마법봉 제작자# 2x (2) 제물의 오라# 2x (2) 지옥불 명사수# 2x (2) 혼돈의 일격# 2x (3) 끊임없는 추적# 2x (3) 알드라치 전투검# 2x (3) 칼춤# 2x (4) 골수절단기# 2x (5) 영혼조각 세공사# 2x (6) 굴단의 해골# 2x (6) 칼날의 여인# AAECAea5AwAPh7oD17sD4LwD2cYD/MgD0c0D+84D/tEDzNID1NID3dMDxd0DzN0D8+MDkOQDAA==# # 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.,### 컵# 직업: 마법사# 대전 방식: 정규# 불사조의 해## 2x (1) 마법봉 도둑# 2x (1) 보랏빛 주문날개# 2x (1) 비전 숨결# 2x (1) 서리 광선# 2x (1) 신기한 마술# 2x (1) 실험실 조수# 2x (1) 태고학 탐구# 2x (2) 마나 회오리# 2x (2) 마나빵 창조# 2x (2) 마술사의 수습생# 2x (2) 벼락치기# 2x (2) 사로잡힌 불사조# 1x (5) 라스 프로스트위스퍼# 1x (5) 잔다이스 바로브# 2x (5) 푸른비늘혈족 주문술사# 2x (8) 마나 거인# AAECAf0EAtDOA9nRAw7mBJ+bA+KbA/+dA/qsA/usA/2sA4GxA4XNA83OA6TRA/fRA4XkA4fkAwA=# # 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.
5fdcfeacaffbb17464342433,1_존크망#3801,### 모자키# 직업: 마법사# 대전 방식: 정규# 불사조의 해## 2x (1) 두뇌 빙결# 2x (1) 서리 광선# 2x (1) 신기한 마술# 2x (1) 신비한 화살# 2x (1) 퇴화의 화살# 2x (1) 환영 복제# 2x (2) 마나빵 창조# 2x (2) 마술사의 수습생# 2x (2) 벼락치기# 1x (2) 신비한 폭발# 2x (2) 얼음 화살# 2x (2) 주문술사의 흐름# 1x (2) 혈법사 탈노스# 1x (2) 환기# 2x (3) 신비한 지능# 1x (5) 결투의 대가 모자키# 2x (6) 가젯잔 경매인# AAECAf0EBL8D7QXFuAOSywMNqwS0BOYElgWkB7wIn5sD/50DwbgD4MwDx84D99EDheQDAA==# # 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.,### 격노전사 # 직업: 전사# 대전 방식: 정규# 불사조의 해## 2x (0) 내면의 분노# 2x (1) 명예의 방패# 1x (1) 순간가속의 독# 2x (1) 위험천만한 선장# 2x (1) 활기찬 조수# 2x (2) 방어구 제작자# 2x (2) 전투 격노# 1x (2) 해적의 은닉품# 1x (3) 군주 바로브# 2x (3) 전쟁망치 도전자# 2x (3) 폭탄 사육사# 1x (3) 해적의 닻# 2x (3) 혈서약 용병# 2x (4) 검놀이꾼# 1x (4) 사신의 낫# 1x (4) 코르크론 정예병# 2x (5) 땡땡이치기# 2x (7) 끓어오르는 피 싸움꾼# AAECAQcGHN6tA8C5A+PMA5PQA4HkAwwWkAPUBP2nA9ypA6S2A6u2A7u5A5y7A5HQA/fUA7XeAwA=# # 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.,### 은신 도적# 직업: 도적# 대전 방식: 정규# Year of the Phoenix## 1x (0) 기습# 2x (1) 첩보원# 2x (1) 순간가속의 독# 2x (1) 사악한 일격# 2x (1) 비밀 통로# 2x (1) 늑대인간 침투요원# 2x (1) 남쪽바다 갑판원# 1x (1) 광기의 역병# 2x (2) 절개# 2x (2) 잿빛혓바닥 학살자# 2x (2) 약삭빠른 불량아# 2x (2) 속여우# 2x (2) 사기# 1x (2) 냉혈# 2x (3) 회색심장 현자# 2x (3) 곡도# 1x (4) 잠복하는 전갈#AAECAaIHBLQBjAKaqQPZvgMNxgXUBYgH4gf/pQO5uAO6uAPPuQOqywOK1APf3QPn3QOB5AMA# 이 덱을 사용하려면 클립보드에 복사한 후 하스스톤에서 새로운 덱을 만드세요.# https://hsreplay.net/decks/U3RFEcbec6fPExr9rTLZqf/에서 이 덱을 찾아보세요
5fdcfeacaffbb17464342433,1_VickeBlanka#1576,### ノーマルビッ# クラス: ウォリアー# フォーマット: スタンダード# フェニックス年## 2x (1) シールドスラム# 1x (1) ステージダイブ# 2x (1) 右に剣を、左に盾を# 2x (1) 体育学の予習# 1x (1) 智慧の宝珠# 2x (2) 地雷原# 1x (3) アズィノスの防塁# 2x (3) シールドブロック# 2x (3) 魔刃嵐# 2x (4) 死神の大鎌# 1x (4) 刃拳のカーガス# 2x (5) 乱闘# 2x (7) 学位授与式# 1x (8) 狂乱のアスペクト・デスウィング# 2x (8) 不良学生# 1x (9) ラトルゴア# 2x (10) 屑鉄山のコロッサス# 2x (10) 超次元断裂機# AAECAQcG360DvrkD+cIDj84Dq9QDwd4DDEuiBP8HlpQDuLkD87sD9sID4swD48wDp84D0tEDtt4DAA==# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### カスタムドルイド# クラス: ドルイド# フォーマット: スタンダード# フェニックス年## 2x (0) 電光刹花# 2x (0) 練気# 2x (1) 空飛ぶほうき# 2x (1) 自然学の予習# 2x (2) 鉄の樹皮# 1x (3) 自然の語り手ギドラ# 2x (3) 野生の繁茂# 2x (4) 過剰繁殖# 2x (5) アヌビサスの守護者# 2x (5) トワイライトランナー# 1x (5) ムーンファング# 2x (5) 湖のスレッシャー# 1x (7) ケルサス・サンストライダー# 2x (7) 洪水# 2x (8) 守護獣# 1x (9) 解き放たれしイセラ# 2x (10) 適者生存# AAECAZICBPatA666A/XOA5XkAw3+AeQI76ID26UD6LoD7LoDlc0Dm84DutADvNADk9ED3tED8NQDAA==# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### カスタムデーモン# クラス: デーモンハンター# フォーマット: スタンダード# フェニックス年## 1x (1) イセリアル改造屋# 2x (1) イリダン党の予習# 2x (1) フェルスクリームブラスト# 2x (1) フェル学# 2x (1) 二連斬# 1x (2) ブラッドメイジ・サルノス# 1x (2) マナ食らいのパンサーラ# 2x (2) モアーグの加工師# 2x (2) 火葬のオーラ# 2x (2) 混沌一閃# 2x (2) 酸性沼ウーズ# 2x (2) 霊視力# 2x (3) アルドラキ・ウォーブレード# 1x (3) 斬舞# 2x (3) 魔眼光# 1x (4) イルギノス# 1x (4) 激昂のフェルスクリーマー# 2x (6) グルダンの髑髏# AAECAea5AwbtBb27A+C+A/zIA/vOA9DdAwyKB4e6A9e7A+C8A+m+A8fGA9nGA9XIA87SA93TA8fdA/PjAwA=# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
5fdcfeacaffbb17464342433,1_LaN#11860,### 大会用プリースト# クラス: プリースト# フォーマット: スタンダード# フェニックス年## 2x (0) 死者蘇生 # 2x (1) ドラゴン学の予習# 2x (1) 再起# 2x (1) 聖なる一撃# 2x (1) 鱗の聖職者# 2x (2) セセックのヴェールウィーヴァー# 2x (2) ワンド職人# 2x (2) 熱狂する火霊術師# 2x (3) ヒステリー# 2x (3) 手相占い# 2x (3) 神格化# 1x (3) 精神与奪者イルシア# 2x (3) 無限竜の息吹# 1x (4) トワイライト・ドレイク# 2x (5) コバルト・スペルキン# 1x (7) 名状しがたきガラクロンド# 1x (8) 無限のムロゾンド# AAECAZ/HAgSNCI6xA8jAA/vRAw2XAvYH8qwDgbEDmLYDk7oDm7oDr7oD3swD184D/tED4t4D+OMDAA==# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### コントロールウォ# クラス: ウォリアー# フォーマット: スタンダード# フェニックス年## 2x (1) シールドスラム# 2x (1) 鎧売り# 2x (1) 扇動する船頭# 2x (2) 鎧職人# 2x (2) 狂瀾怒濤# 2x (2) 地雷原# 1x (3) イカリ# 2x (3) シールドブロック# 1x (3) ロード・バロフ# 2x (3) 血盟の傭兵# 1x (3) 鉄嘴のフクロウ# 2x (3) 魔刃嵐# 2x (4) ヤジロボ# 2x (4) 剣食い男# 2x (5) 斧刀講# 2x (5) 乱闘# 1x (9) 文書管理官エリシアーナ# AAECAQcEogKGnQPerQOT0AMNS5ADogTUBP8HlZQD3KkDpLYDuLkD99QDtd4Dtt4DkuQDAA==# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ,### コントロールシャ# クラス: シャーマン# フォーマット: スタンダード# フェニックス年## 2x (0) 電光刹花# 2x (1) 退化の矢# 2x (1) 導き# 2x (2) 酸性沼ウーズ# 2x (2) 土砂崩れ# 2x (2) 入念なノート取り屋# 2x (2) 魔女の煎じ薬# 1x (3) ファイアハート先生# 2x (3) 遠見# 2x (4) ヤジロボ# 2x (4) 激流# 2x (5) ハガサの計略# 2x (7) 地震# 2x (8) 高波# 2x (8) 動く噴水像# 1x (9) 文書管理官エリシアーナ# AAECAaoIAoadA5zOAw6yBooHrZEDipQDlZQDxZkDkKcDk7kD4MwD4cwDrtID8NQDieQDiuQDAA==# # このデッキを使うには、あんたのクリップボードにコピーして、ハースストーンで新しいデッキを作ってくれ
5fdcfeacaffbb17464342433,1_Flamekilla#1935,### 1# Class: Warlock# Format: Standard# Year of the Phoenix## 2x (0) Raise Dead # 2x (1) Animated Broomstick# 2x (1) Flame Imp# 2x (1) Soulfire# 2x (1) Spirit Jailer# 2x (1) Tour Guide# 2x (1) Voidwalker# 1x (1) Wicked Whispers# 2x (2) Darkglare# 1x (2) Expired Merchant# 1x (2) Kanrethad Ebonlocke# 2x (2) Wriggling Horror# 2x (3) Man'ari Mosher# 1x (3) Revenant Rascal# 2x (4) Nightshade Matron# 2x (6) Hand of Gul'dan# 2x (8) Flesh Giant# AAECAf0GBP2kA9a5A5feA9DhAw0wzgfCCLW5A7a5A8u5A5XNA5vNA9fOA8HRA8zSA5PeA8rjAwA=# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### 2# Class: Rogue# Format: Standard# Year of the Phoenix## 2x (0) Backstab# 1x (1) Deadly Poison# 2x (1) Nitroboost Poison# 2x (1) Secret Passage# 2x (1) Southsea Deckhand# 2x (1) Spymistress# 2x (1) Worgen Infiltrator# 2x (2) Eviscerate# 2x (2) Sneaky Delinquent# 2x (3) Greyheart Sage# 1x (3) Hooked Scimitar# 2x (3) Self-Sharpening Sword# 2x (4) Dread Corsair# 2x (4) Steeldancer# 2x (5) Cutting Class# 1x (5) Doctor Krastinov# 1x (5) Jandice Barov# AAECAaIHBMsD/6UD2dEDqtIDDbQB1AXuBogH4ge5uAPPuQOqywOL0AOK1APV1AP31AOB5AMA# # To use this deck copy it to your clipboard and create a new deck in Hearthstone,### 3# Class: Demon Hunter# Format: Standard# Year of the Phoenix## 2x (1) Blazing Battlemage# 2x (1) Illidari Studies# 2x (1) Twin Slice# 2x (2) Chaos Strike# 2x (2) Manafeeder Panthara# 2x (2) Sightless Watcher# 2x (2) Wandmaker# 2x (3) Aldrachi Warblades# 2x (3) Blade Dance# 2x (3) Felsteel Executioner# 2x (3) Relentless Pursuit# 2x (4) Felsaber# 1x (4) Il'gynoth# 1x (4) Kayn Sunfury# 2x (6) Bladed Lady# 2x (6) Skull of Gul'dan# AAECAea5AwLaxgPQ3QMO+a4Dh7oD17sD4LwDjb0D2cYD/MgD+84D/tEDxd0DzN0D194D8+MD9OMDAA==# # To use this deck copy it to your clipboard and create a new deck in Hearthstone
